Company Name,Company Type,D-U-N-S@ Number,Import/Export,Fax No,Global Duns No,Global Name,Immediate Parent Duns No,Immediate Parent Name,Latitude,Line of Business,Longtitude,Manufacturing Indicator,Marketing Prescreen Score,Marketing Prescreen Ranking,Minority Owned Indicator,Owns/Rents,Phone No,Subsidiary Status,Web Address (URL),Year of Founding,Auditors,Rank Type,Trade Style,Employer ID Number (EIN),Domestic Parent Duns No,Domestic Parent Name,Former Name,Location Type,Mailing Address,Mailing City,Mailing Country,Mailing County,Mailing State,Mailing Zipcode,Physical Address,Physical City,Physical Country,Physical County,Physical State,Physical Zipcode,Primary SIC Code,Sales,Employee All Sites,Employee this Site,Sales (Year 1),Employees Total (Year 1),Facility Size
"CORTEVA, INC.",Public,11-681-4324,,,11-681-4324,"CORTEVA, INC.",11-681-4324,"CORTEVA, INC.",39.75241,"CROP PLANTING AND PROTECTION, NSK",-75.609399,Non Manufacturer,Low,1 - Most likely to pay,No,,(302) 485-3000,Non-Subsidiary,WWW.CORTEVA.COM,2018,,,CORTEVA AGRISCIENCE,824979096,11-681-4324,"CORTEVA, INC.",,Headquarters,,,,,,,974 CENTRE RD BLDG 735,WILMINGTON,USA,NEW CASTLE,DELAWARE,198051269,07210300,"$30,671,050,478","44,000",28,"$3,125,084,910","21,900",0
"CHIQUITA BRANDS INTERNATIONAL, INC.",Public,05-154-1597,Both,,22-031-2707,CHIQUITA HOLDINGS LIMITED,22-031-2707,CHIQUITA HOLDINGS LIMITED,26.062705,"FRUITS AND TREE NUTS, NEC, NSK",-80.161274,Non Manufacturer,High,5 - Least Likely to pay,No,Rent,(954) 924-5700,Subsidiary,WWW.CHIQUITA.COM,1899,PricewaterhouseCoopers LLP,,CHIQUITA,041923360,05-154-1597,CHIQUITA HOLDINGS LIMITED,,Headquarters,,,,,,,1855 GRIFFIN RD STE C436,DANIA,USA,BROWARD,FLORIDA,330042275,01799902,"$3,399,246,400","20,000","1,000","$3,090,224,000","20,000",0
THE ANDERSONS INC,Public,19-699-1731,,,19-699-1731,THE ANDERSONS INC,19-699-1731,THE ANDERSONS INC,41.582325,"CROP PREPARATION SERVICES FOR MARKET, NSK",-83.696756,Non Manufacturer,Low,2 - Likely to pay,No,Rent,(419) 893-5050,Non-Subsidiary,WWW.ANDERSONSINC.COM,1947,,,,341562374,19-699-1731,THE ANDERSONS INC,,Headquarters,P.O. BOX 119,MAUMEE,USA,LUCAS,OHIO,435370119,1947 BRIARFIELD BLVD,MAUMEE,USA,LUCAS,OHIO,435371690,07230000,"$3,045,382,000","1,858",150,"$3,045,382,000","3,498","245,000"
"BRIGHTVIEW HOLDINGS, INC.",Public,07-941-1785,,,07-940-7937,"BRIGHTVIEW PARENT, L.P.",07-940-7937,"BRIGHTVIEW PARENT, L.P.",40.147526,"LANDSCAPE COUNSELING AND PLANNING, NSK",-75.288898,Manufacturer,Low,1 - Most likely to pay,No,Rent,(484) 567-7204,Subsidiary,WWW.BRIGHTVIEW.COM,2013,,,,,07-940-7937,"BRIGHTVIEW PARENT, L.P.",,Headquarters,,,,,,,980 JOLLY RD STE 300,BLUE BELL,USA,MONTGOMERY,PENNSYLVANIA,194221904,07810200,"$2,353,603,000","19,000",31,"$2,353,603,000","19,000",0
"CAL-MAINE FOODS, INC.",Public,05-064-3436,,,05-064-3436,"CAL-MAINE FOODS, INC.",05-064-3436,"CAL-MAINE FOODS, INC.",32.325416,"CHICKEN EGGS, NSK",-90.223854,Manufacturer,Low,4 - Less likely to pay,No,,(601) 948-6813,Non-Subsidiary,WWW.CALMAINEFOODS.COM,1957,Ernst & Young LLP,Russell 2000 (June 2016),,640500378,05-064-3436,"CAL-MAINE FOODS, INC.",,Headquarters,P.O. BOX 2960,JACKSON,USA,HINDS,MISSISSIPPI,392072960,3320 W WOODROW WILSON AVE,JACKSON,USA,HINDS,MISSISSIPPI,392093409,02520000,"$1,361,188,000","3,573",422,"$1,502,932,000","3,573",0
"HINES HORTICULTURE, INC.",Public,61-925-0665,Importer,,61-925-0665,"HINES HORTICULTURE, INC.",61-925-0665,"HINES HORTICULTURE, INC.",33.709769,"ORNAMENTAL NURSERY PRODUCTS, NSK",-117.748431,Manufacturer,High,N/A,No,Rent,(949) 559-4444,Non-Subsidiary,WWW.HINESHORT.COM,1920,,,HINES NURSERIES,330411319,61-925-0665,"HINES HORTICULTURE, INC.",,Headquarters,,,,,,,12621 JEFFERY RD,IRVINE,USA,ORANGE,CALIFORNIA,92620,01810000,"$1,332,551,995","2,100",500,$0,"2,100",0
"DOLE FOOD COMPANY, INC.",Public,00-896-5428,Both,,07-920-4106,"DFC HOLDINGS, LLC",07-920-4106,"DFC HOLDINGS, LLC",34.151897,"FRUITS AND TREE NUTS, NEC, NSK",-118.804938,Non Manufacturer,N/A,5 - Least Likely to pay,No,Rent,(818) 874-4000,Subsidiary,WWW.DOLE.COM,1851,Deloitte & Touche LLP,Forbes Largest Private Companies (July 2016),DOLE FOOD,990035300,07-920-4106,"DFC HOLDINGS, LLC",,Headquarters,,,,,,,1 DOLE DR,WESTLAKE VILLAGE,USA,VENTURA,CALIFORNIA,913627300,01799908,"$1,135,724,230","1,534",188,"$1,142,380,140","1,534",0
"MICHAEL FOODS, INC.",Public,01-807-6351,Both,,80-573-0178,"POST HOLDINGS, INC.",80-573-0178,"POST HOLDINGS, INC.",44.977759,"CHICKEN EGGS, NSK",-93.464905,Non Manufacturer,Low,1 - Most likely to pay,No,Owns,(507) 237-4600,Subsidiary,WWW.MICHAELFOODS.COM,1928,,,MGWALGBAUMS,134151741,80-573-0178,"POST HOLDINGS, INC.",,Headquarters,,,,,,,301 CARLSON PKWY STE 400,MINNETONKA,USA,HENNEPIN,MINNESOTA,553055370,02520000,"$1,066,744,564","3,596",226,"$1,066,744,564","3,596",0
THE DAVEY TREE EXPERT COMPANY,Public,00-790-3180,,,00-790-3180,THE DAVEY TREE EXPERT COMPANY,00-790-3180,THE DAVEY TREE EXPERT COMPANY,41.170141,"ORNAMENTAL SHRUB AND TREE SERVICES, NSK",-81.353678,Manufacturer,Low,3 - Neutral,No,Owns,(330) 673-9511,Non-Subsidiary,WWW.DAVEY.COM,1909,Ernst & Young LLP,,,340176110,00-790-3180,THE DAVEY TREE EXPERT COMPANY,,Headquarters,P.O. BOX 5193,KENT,USA,PORTAGE,OHIO,442405193,1500 N MANTUA ST,KENT,USA,PORTAGE,OHIO,442402399,07839902,"$1,024,791,000","8,600",175,"$1,024,791,000","8,600",0
POTLATCHDELTIC CORPORATION,Public,00-944-8200,Both,,00-944-8200,POTLATCHDELTIC CORPORATION,00-944-8200,POTLATCHDELTIC CORPORATION,47.656552,"FOREST PRODUCTS, NSK",-117.421562,Manufacturer,Low,1 - Most likely to pay,No,,(509) 835-1500,Non-Subsidiary,WWW.POTLATCHDELTIC.COM,1903,KPMG LLP,Russell 2000 (June 2016),POTLATCHDELTIC,820156045,00-944-8200,POTLATCHDELTIC CORPORATION,,Headquarters,,,,,,,601 W 1ST AVE STE 1600,SPOKANE,USA,SPOKANE,WASHINGTON,992013807,08310100,"$974,579,000",953,40,"$974,579,000",953,0
